GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5-mps-uma,bank,BankAccount,0,138,0,24,0,28,0,18,0,6
junit5-mps-uma,bank,BankMain,111,0,0,0,12,0,2,0,2,0
